Geo,Year,SFDU,MFDU,GQDU
48201340302,2019,2476,2,0
48201340400,2019,534,0,0
48201340501,2019,1020,796,0
48201340502,2019,111,1111,0
48201340600,2019,971,6,0
48201340701,2019,1203,348,0
48201340702,2019,919,203,0
48201340800,2019,2071,5,0
48201340900,2019,335,1574,0
48201341001,2019,406,1149,0
48201341002,2019,536,1410,0
48201341101,2019,249,350,0
48201341102,2019,19,1305,0
48201341201,2019,488,1710,0
48201341203,2019,322,598,0
48201341204,2019,946,869,0
48201341302,2019,94,1914,0
48201341303,2019,530,1480,0
48201341304,2019,219,982,0
48201341400,2019,2231,453,0
48201341501,2019,1746,1196,0
48201341502,2019,892,1363,0
48201341600,2019,2442,558,0
48201341700,2019,1110,327,0
48201341800,2019,888,127,0
48201342001,2019,2263,16,0
48201342002,2019,972,981,0
48201342100,2019,1517,134,0
48201342200,2019,966,520,0
48201342300,2019,1353,609,0
48201342400,2019,881,691,0
48201342500,2019,1923,442,0
48201342700,2019,1618,398,0
48201342801,2019,1427,1,0
48201342802,2019,1469,4,0
48201342900,2019,2438,65,0
48201343000,2019,1609,765,0
48201343100,2019,1496,1,0
48201343200,2019,1635,14,0
48201343301,2019,1594,9,0
48201343302,2019,1696,197,0
48201343601,2019,245,10,0
48201343602,2019,1331,104,0
48201343700,2019,1183,286,0
48201350101,2019,1353,1,0
48201350102,2019,1894,0,0
48201350103,2019,2122,2,0
48201350104,2019,1209,291,0
48201350201,2019,1084,1,0
48201350202,2019,1472,11,0
48201350300,2019,1967,77,0
48201350400,2019,1478,348,0
48201350500,2019,1871,552,0
48201350601,2019,1757,608,40
48201350603,2019,1059,131,55
48201350604,2019,852,73,0
48201350700,2019,915,3,0
48201350801,2019,1274,199,33
48201350803,2019,572,321,407
48201350804,2019,1527,570,1
48201410101,2019,519,948,0
48201410102,2019,226,2259,0
48201410201,2019,85,1919,0
48201410202,2019,794,1857,0
48201410300,2019,412,2409,0
48201410401,2019,1164,1137,0
48201410402,2019,842,621,0
48201410501,2019,659,569,0
48201410502,2019,714,1071,0
48201410601,2019,20,3481,0
48201410602,2019,246,1382,0
48201410703,2019,424,1024,0
48201410704,2019,393,939,0
48201410705,2019,152,932,0
48201410706,2019,153,1168,0
48201410801,2019,438,1343,0
48201410802,2019,321,934,0
48201410900,2019,559,1641,0
48201411001,2019,79,2287,0
48201411002,2019,197,1397,0
48201411003,2019,329,1081,0
48201411100,2019,1065,928,0
48201411200,2019,768,156,0
48201411301,2019,107,1994,0
48201411302,2019,134,2978,0
48201411400,2019,1020,248,0
48201411503,2019,180,2325,0
48201411504,2019,61,1497,0
48201411505,2019,450,1491,0
48201411506,2019,1,1611,0
48201411507,2019,52,1243,0
48201411600,2019,886,865,0
48201411700,2019,71,2482,0
48201411801,2019,598,1030,0
48201411802,2019,284,2024,0
48201411901,2019,771,490,0
48201411902,2019,371,876,0
48201412000,2019,1171,893,0
48201412201,2019,674,793,0
48201412202,2019,873,866,0
48201412300,2019,2535,102,0
48201412400,2019,1524,29,0
48201412500,2019,561,49,0
48201412600,2019,1319,159,0
48201412700,2019,976,329,0
48201412800,2019,1458,142,0
48201412901,2019,63,1082,0
48201412902,2019,589,619,0
48201413000,2019,981,263,0
48201413100,2019,973,412,0
48201413203,2019,46,998,0
48201413204,2019,42,943,0
48201413205,2019,58,1180,0
48201413206,2019,88,749,0
48201413301,2019,717,2034,0
48201413302,2019,1228,232,0
48201420100,2019,391,969,327
48201420200,2019,815,49,162
48201420300,2019,1075,646,0
48201420400,2019,1417,189,0
48201420500,2019,175,1066,0
48201420600,2019,721,196,0
48201420700,2019,1154,177,0
48201420800,2019,1050,30,0
48201420900,2019,2206,114,0
48201421000,2019,891,431,0
48201421101,2019,55,2260,0
48201421103,2019,0,1062,0
48201421104,2019,2,1312,0
48201421203,2019,1,602,0
48201421204,2019,0,1255,0
48201421205,2019,0,891,0
48201421206,2019,0,876,0
48201421301,2019,2,473,49
48201421302,2019,5,1714,169
48201421401,2019,50,966,0
48201421402,2019,28,545,0
48201421403,2019,116,2211,0
48201421501,2019,193,1128,0
48201421502,2019,45,1456,0
48201421601,2019,2,1160,0
48201421602,2019,210,726,0
48201421700,2019,1130,793,0
48201421801,2019,171,637,0
48201421802,2019,472,1379,0
48201421900,2019,1168,13,0
48201422000,2019,1036,33,0
48201422100,2019,1731,337,0
48201422200,2019,111,678,0
48201422302,2019,543,1012,0
48201422303,2019,300,559,0
48201422304,2019,408,761,0
48201422403,2019,571,572,25
48201422404,2019,356,645,0
48201422405,2019,66,324,14
48201422406,2019,195,955,42
48201422501,2019,427,916,0
48201422502,2019,461,1135,0
48201422601,2019,813,537,0
48201422602,2019,733,406,0
48201422701,2019,1141,389,2
48201422702,2019,1105,8,0
48201422800,2019,609,1335,0
48201422900,2019,550,1086,0
48201423001,2019,57,456,0
48201423002,2019,199,1704,0
48201423100,2019,128,797,0
48201423201,2019,919,152,0
48201423203,2019,335,577,0
48201423204,2019,41,1995,0
48201423301,2019,800,1365,0
48201423303,2019,151,229,64
48201423304,2019,533,803,223
48201423401,2019,1352,792,0
48201423402,2019,1035,222,0
48201423500,2019,681,114,0
48201423600,2019,2002,206,0
48201430101,2019,244,1570,0
48201430102,2019,468,1240,0
48201430200,2019,181,271,0
48201430300,2019,1510,419,0
48201430400,2019,1197,272,0
48201430500,2019,580,472,0
48201430600,2019,1358,292,0
48201430700,2019,738,966,0
48201430800,2019,1228,1934,0
48201430900,2019,1048,1945,0
48201431001,2019,786,549,0
48201431002,2019,843,607,0
48201431101,2019,41,2381,0
48201431102,2019,99,2097,0
48201431203,2019,80,986,0
48201431204,2019,390,1710,0
48201431205,2019,1,457,0
48201431206,2019,3,947,1
48201431302,2019,1149,1567,0
48201431303,2019,1,1529,0
48201431304,2019,14,2391,0
48201431401,2019,41,1323,0
48201431403,2019,42,1177,0
48201431404,2019,44,1381,0
48201431503,2019,129,894,0
48201431504,2019,711,428,0
48201431505,2019,70,822,0
48201431506,2019,162,1833,0
48201431600,2019,988,639,0
48201431701,2019,285,1641,0
48201431702,2019,934,528,0
48201431801,2019,455,2792,0
48201431803,2019,52,1164,0
48201431804,2019,0,2692,0
48201431901,2019,66,1420,0
48201431902,2019,9,2164,0
48201432003,2019,14,1450,0
48201432004,2019,807,158,0
48201432005,2019,67,1915,0
48201432006,2019,55,1193,0
48201432101,2019,66,1456,109
48201432102,2019,370,1819,57
48201432200,2019,874,1178,0
48201432301,2019,2,1719,0
