Geo,Year,MixUseProp
48157671002,2019,0
48157671101,2019,0
48157671102,2019,0.000930186
48157671200,2019,0.035726931
48157671300,2019,0.125325666
48157671401,2019,0.028649519
48157671402,2019,0.048297097
48157671501,2019,0.016752366
48157671502,2019,0.148073261
48157671601,2019,0.210348783
48157671602,2019,0.112853103
48157671700,2019,0.00709892
48157671800,2019,0.007257718
48157671900,2019,0.106423458
48157672002,2019,0.090456882
48157672003,2019,0.010440685
48157672004,2019,0.030711443
48157672100,2019,0.022922629
48157672201,2019,3.20597E-05
48157672202,2019,0.026880675
48157672303,2019,7.46607E-05
48157672304,2019,0.000115993
48157672305,2019,0.011699819
48157672306,2019,0.025553365
48157672401,2019,0.166352211
48157672402,2019,0.016184099
48157672500,2019,0.012135731
48157672602,2019,8.59E-06
48157672603,2019,0
48157672604,2019,1.62E-07
48157672701,2019,0.001817994
48157672702,2019,0
48157672703,2019,0.018058091
48157672801,2019,0
48157672802,2019,0
48157672901,2019,0
48157672902,2019,0.000131864
48157672903,2019,0
48157672904,2019,0
48157672905,2019,0
48157672906,2019,0
48157672907,2019,0
48157673004,2019,0.016501031
48157673005,2019,0.197739084
48157673006,2019,0.027862379
48157673007,2019,0
48157673008,2019,0.162063624
48157673009,2019,0.001242674
48157673010,2019,0.02550377
48157673103,2019,0.000487911
48157673104,2019,0.030807635
48157673105,2019,3.6984E-05
48157673106,2019,0.040197367
48157673107,2019,0.012573417
48157673108,2019,0
48157673109,2019,0
48157673110,2019,0
48157673111,2019,0
48157673112,2019,3.91E-06
48157673113,2019,0.024517121
48157673201,2019,0
48157673202,2019,0
48157673300,2019,0
48157673401,2019,0.000524495
48157673402,2019,0
48157673403,2019,0.000262019
48157673404,2019,0
48157673501,2019,0
48157673502,2019,0
48157673600,2019,0
48157673700,2019,0
48157673801,2019,7.62E-07
48157673802,2019,0
48157673902,2019,0
48157673903,2019,0
48157673904,2019,0
48157674001,2019,1.58688E-05
48157674002,2019,0.082917433
48157674100,2019,0.094097101
48157674200,2019,0.028890125
