Geo,Year,UrbanArea,TownArea,RuralArea
48157673600,2019,1311.468369,0,542.3456453
48157673700,2019,667.6256957,0,1398.199494
48157673801,2019,420.7249615,0,2016.906017
48157673802,2019,455.4987266,0,13.83488608
48157673902,2019,1621.839725,0,0
48157673903,2019,385.6619218,0,0
48157673904,2019,469.1359983,0,0
48157674001,2019,268.1761566,0,0
48157674002,2019,605.1901243,0,0
48157674100,2019,702.0093202,0,0
48157674200,2019,749.3426989,0,0
48157674301,2019,547.294236,0,32.53581291
48157674302,2019,954.7260825,0,0.230063665
48157674401,2019,1358.987274,0,182.2167006
48157674402,2019,186.6805508,0,1288.629113
48157674403,2019,36.8729071,0,738.7426782
48157674404,2019,598.3226072,0,1467.30726
48157674503,2019,737.9687059,0,714.7666375
48157674504,2019,1498.184276,0,326.5931067
48157674505,2019,1026.381052,0,154.7859726
48157674506,2019,1348.106854,0,9243.888991
48157674507,2019,1695.943478,0,222.9207866
48157674508,2019,2777.595746,0,0.851703695
48157674601,2019,446.1856289,0,0.451021012
48157674602,2019,746.6115573,0,5202.644514
48157674603,2019,447.2416662,0,0.648525299
48157674604,2019,1494.676149,0,0.00313509
48157674701,2019,621.5298682,0,0.497222834
48157674702,2019,2289.379641,0,1148.822525
48157674800,2019,787.7535067,0,0.416081316
48157674900,2019,626.6005185,0,1312.289782
48157675000,2019,753.7852788,0,3.601060318
48157675101,2019,1195.009783,0,0
48157675102,2019,342.6362955,0,0
48157675200,2019,1212.588314,0,0
48157675300,2019,1129.903289,0,813.427965
48157675401,2019,1003.492825,0,15074.80584
48157675402,2019,125.6761375,0,17309.7543
48157675501,2019,3733.413751,0,4849.466415
48157675502,2019,3800.119135,0,397.1950062
48157675503,2019,360.7287634,0,53546.46495
48157675600,2019,0.049142301,0,61949.95585
48157675701,2019,0.27609905,0,50155.33205
48157675702,2019,0,0,4805.930592
48157675800,2019,0.00194755,0,78034.84608
48167720100,2019,1291.122592,0,2.457088258
48167720200,2019,1477.339188,0,1.417552632
48167720301,2019,651.9356717,0,0.201901623
48167720302,2019,1839.190097,0,371.1845257
48167720400,2019,1189.094988,0,2165.791454
48167720501,2019,761.1737618,0,0.01965335
48167720504,2019,235.6444999,0,256.0457157
48167720505,2019,442.9101113,0,20.62704446
48167720506,2019,506.8175891,0,0.928995348
48167720507,2019,597.3519031,0,7.870074812
48167720508,2019,237.9314223,0,0.000015183
48167720509,2019,277.9311481,0,0
48167720510,2019,325.0509693,0,0
48167720511,2019,524.1774896,0,0.038404726
48167720512,2019,285.9755102,0,0.002734747
48167720601,2019,748.2539206,0,7.113326287
48167720602,2019,455.6218888,0,0.018358477
48167720603,2019,257.292925,0,156.7479172
48167720604,2019,609.9660532,0,350.9005984
48167720605,2019,222.4505917,0,10029.78285
48167720701,2019,887.3549017,0,0
48167720702,2019,600.8461167,0,0
48167720703,2019,845.4597163,0,0
48167720800,2019,1006.588018,0,0.752367504
48167720900,2019,1290.875015,0,0.868697389
48167721000,2019,493.9118872,0,1378.821683
48167721101,2019,579.5663977,0,95.54479896
48167721102,2019,636.2724615,0,1.409325902
48167721103,2019,428.6193494,0,2537.175656
48167721203,2019,291.4751977,0,3.248865004
48167721204,2019,810.6361722,0,0
48167721205,2019,403.9906555,0,0
48167721206,2019,484.9612238,0,1.47253472
48167721207,2019,586.9642909,0,4.072432922
48167721208,2019,610.4642964,0,1.471833549
48167721209,2019,352.625107,0,442.2945207
