Geo,Year,D4c
48157672500,2019,0.9599528
48157672602,2019,0.000875668
48157672603,2019,0.00701327
48157672604,2019,0.21673304
48157672701,2019,3.30628E-05
48157672702,2019,0
48157672703,2019,3.11017E-05
48157672801,2019,0
48157672802,2019,0
48157672901,2019,0
48157672902,2019,0
48157672903,2019,0
48157672904,2019,0
48157672905,2019,1.55102E-07
48157672906,2019,0
48157672907,2019,0
48157673004,2019,0
48157673005,2019,0.002006405
48157673006,2019,0
48157673007,2019,2.15169E-06
48157673008,2019,0
48157673009,2019,0
48157673010,2019,0
48157673103,2019,0.64157542
48157673104,2019,0
48157673105,2019,0
48157673106,2019,0
48157673107,2019,0.21069678
48157673108,2019,2.20203E-06
48157673109,2019,0
48157673110,2019,0
48157673111,2019,0
48157673112,2019,0
48157673113,2019,0
48157673201,2019,0
48157673202,2019,0
48157673300,2019,0
48157673401,2019,0
48157673402,2019,0
48157673403,2019,0
48157673404,2019,0
48157673501,2019,0
48157673502,2019,0
48157673600,2019,0
48157673700,2019,0
48157673801,2019,0
48157673802,2019,0
48157673902,2019,0
48157673903,2019,0
48157673904,2019,0
48157674001,2019,0
48157674002,2019,0
48157674100,2019,0
48157674200,2019,0
48157674301,2019,7.15712E-07
48157674302,2019,0.049141908
48157674401,2019,0
48157674402,2019,0
48157674403,2019,0
48157674404,2019,4.907851454
48157674503,2019,1.571506289
48157674504,2019,0.000175694
48157674505,2019,0.013973643
48157674506,2019,0.203742366
48157674507,2019,81.93186719
48157674508,2019,41.87055996
48157674601,2019,0
48157674602,2019,0.011488754
48157674603,2019,0
48157674604,2019,0
48157674701,2019,0
48157674702,2019,0
48157674800,2019,0
48157674900,2019,0
48157675000,2019,0
48157675101,2019,0
48157675102,2019,0
48157675200,2019,0
48157675300,2019,0
48157675401,2019,0
48157675402,2019,0
48157675501,2019,0
48157675502,2019,0
48157675503,2019,0
48157675600,2019,0
48157675701,2019,0
48157675702,2019,0
48157675800,2019,0
48167720100,2019,0.016731218
48167720200,2019,0.00014764
48167720301,2019,0
48167720302,2019,0
48167720400,2019,0
48167720501,2019,0
48167720504,2019,0
48167720505,2019,0
48167720506,2019,0
48167720507,2019,0
48167720508,2019,0
48167720509,2019,0
48167720510,2019,0
48167720511,2019,0
48167720512,2019,0
48167720601,2019,0
48167720602,2019,0
48167720603,2019,0
48167720604,2019,0
48167720605,2019,0
48167720701,2019,0
48167720702,2019,0
48167720703,2019,0
48167720800,2019,0
48167720900,2019,0
48167721000,2019,0
48167721101,2019,0
48167721102,2019,0
48167721103,2019,0
48167721203,2019,0
48167721204,2019,0
48167721205,2019,0
48167721206,2019,0
48167721207,2019,0
48167721208,2019,0
48167721209,2019,0
48167721210,2019,0
48167721211,2019,0
48167721301,2019,2.97857E-05
48167721302,2019,4.93945E-05
48167721401,2019,0
48167721402,2019,0
48167721403,2019,0
48167721501,2019,0
48167721502,2019,0
48167721503,2019,0
48167721600,2019,0
48167721701,2019,0
48167721702,2019,0
48167721703,2019,0
48167721800,2019,0
48167721901,2019,0
48167721902,2019,0
48167722001,2019,0
48167722002,2019,0
48167722100,2019,0
48167722200,2019,0
48167722300,2019,0
48167722600,2019,0
48167722700,2019,0
48167722800,2019,0
48167722900,2019,0
48167723000,2019,0
48167723100,2019,0
48167723200,2019,0
48167723300,2019,0
48167723401,2019,0
48167723402,2019,0
48167723403,2019,0
48167723501,2019,0
48167723503,2019,0
48167723504,2019,0
48167723505,2019,0
48167723600,2019,0
48167723700,2019,0
48167723800,2019,0
48167723900,2019,0
48167724000,2019,0
48167724101,2019,0
48167724200,2019,0
48167724300,2019,0
48167724400,2019,0
48167724500,2019,0
48167724600,2019,0
48167724700,2019,0
48167724800,2019,0
48167724900,2019,0
48167725000,2019,0
48167725100,2019,0
48167725200,2019,0
48167725300,2019,0
48167725400,2019,0
48167725500,2019,0
48167725600,2019,0
48167725700,2019,0
48167725800,2019,0
48167725900,2019,0
48167726000,2019,0
48167726101,2019,0
48167726102,2019,0
48167726200,2019,0
48167990000,2019,0
48167990100,2019,0
48201100001,2019,20961.91376
48201210400,2019,41.22410858
48201210500,2019,39.32984894
48201210600,2019,60.28883058
48201210700,2019,10.79968635
48201210800,2019,82.96318303
48201210900,2019,16.36132051
48201211000,2019,14.15697424
48201211101,2019,13.4374567
48201211102,2019,11.64274474
48201211200,2019,15.03543427
48201211301,2019,19.48273733
48201211302,2019,32.92232492
48201211400,2019,70.4421751
48201211501,2019,38.47009367
48201211502,2019,105.160556
48201211600,2019,48.34484709
48201211700,2019,38.0884875
48201211900,2019,6.285297972
48201212300,2019,208.3741872
48201212400,2019,85.60476723
48201212500,2019,78.5761763
48201220100,2019,40.42514653
48201220200,2019,27.8706807
48201220300,2019,10.80075528
48201220400,2019,33.22177549
48201220500,2019,158.3665516
48201220600,2019,19.9540825
48201220701,2019,12.5580411
48201220702,2019,21.2256739
48201220800,2019,16.62820281
48201220900,2019,30.00390076
48201221000,2019,25.74924977
48201221100,2019,6.116006637
48201221200,2019,10.32653645
48201221301,2019,27.70401151
48201221302,2019,2.972061514
48201221400,2019,9.412702928
48201221501,2019,17.46446922
48201221502,2019,7.662495006
48201221601,2019,6.599139701
48201221602,2019,85.38890396
48201221701,2019,10.83700958
48201221702,2019,3.994149009
48201221800,2019,3.073598113
48201221900,2019,4.887382868
48201222000,2019,5.771714928
48201222100,2019,8.408335209
48201222200,2019,9.413482817
48201222300,2019,6.88808782
48201222401,2019,22.92001702
48201222402,2019,6.466124293
48201222501,2019,9.002914852
48201222502,2019,8.230627771
48201222504,2019,1.973058423
48201222505,2019,14.83984113
48201222601,2019,16.25399125
48201222602,2019,20.99290704
48201222701,2019,3.741188216
48201222702,2019,17.0530717
48201222800,2019,0.498769101
48201222900,2019,3.634007236
48201223001,2019,13.8431409
48201223002,2019,4.009075314
48201223100,2019,25.73571656
48201230100,2019,75.67318017
48201230200,2019,97.11095596
48201230300,2019,11.23755262
48201230400,2019,39.11014863
48201230500,2019,53.75080859
48201230600,2019,11.55446122
48201230700,2019,21.73204135
48201230800,2019,4.090948822
48201230900,2019,6.822274078
48201231000,2019,12.96673046
48201231100,2019,13.39011789
48201231200,2019,39.14577677
48201231300,2019,31.01245556
48201231400,2019,5.941378846
48201231500,2019,1.913538653
48201231600,2019,2.367696496
48201231700,2019,15.80973638
48201231800,2019,8.906988959
48201231900,2019,7.571287315
48201232000,2019,1.633144759
48201232100,2019,9.489007966
48201232201,2019,8.587448478
48201232202,2019,0.915510963
48201232203,2019,0.002423799
48201232303,2019,0.151515747
48201232304,2019,0.276675419
48201232305,2019,0
48201232306,2019,9.93874E-05
48201232402,2019,0.000747911
48201232403,2019,0.394518986
48201232404,2019,1.61235E-05
48201232405,2019,0.092289137
48201232500,2019,15.54233387
48201232600,2019,37.49055391
48201232701,2019,19.89398303
48201232703,2019,1.736718155
48201232704,2019,14.6988085
48201232801,2019,1.062331617
48201232802,2019,8.176469568
48201232901,2019,3.116671681
48201232902,2019,0.532208201
48201233001,2019,0.248296411
48201233002,2019,0.196033465
48201233003,2019,0.115278125
48201233101,2019,0.783457503
48201233103,2019,0.513993105
48201233104,2019,0.008444156
48201233105,2019,0.017363809
48201233200,2019,3.048474924
48201233300,2019,15.9430163
48201233400,2019,5.870637236
48201233501,2019,0.037419744
48201233502,2019,0.223305225
48201233600,2019,2.584385704
48201233701,2019,2.287836701
48201233702,2019,0.019461563
48201233703,2019,0.756604847
48201240101,2019,33.50381281
48201240102,2019,81.8984099
48201240400,2019,67.59941636
48201240503,2019,2.882752765
48201240504,2019,5.744620566
48201240505,2019,1.209107274
48201240506,2019,9.5018911
48201240600,2019,21.74700465
48201240703,2019,10.98872713
48201240704,2019,10.14787989
48201240705,2019,19.39250753
48201240706,2019,10.30177861
48201240707,2019,8.813191162
48201240802,2019,19.98653579
48201240803,2019,10.89930531
48201240804,2019,4.847741118
48201240903,2019,0.186407746
48201240904,2019,11.5711062
48201240905,2019,0.023490953
48201240906,2019,0.040557464
48201241001,2019,0.079684193
