Geo,Year,TotEmp,RetEmp,SvcEmp
3726,2045,416,39,347
3727,2045,606,55,445
3728,2045,409,266,134
3729,2045,464,234,216
3730,2045,1638,66,1506
3731,2045,793,438,331
3732,2045,130,2,113
3733,2045,346,152,32
3734,2045,685,118,566
3735,2045,931,166,731
3736,2045,407,8,342
3737,2045,828,174,326
3738,2045,1023,247,718
3739,2045,131,104,27
3741,2045,1866,1099,527
3742,2045,475,103,353
3743,2045,825,349,448
3744,2045,550,391,138
3745,2045,22,6,15
3746,2045,427,247,127
3747,2045,105,21,71
3748,2045,708,210,405
3749,2045,504,97,168
3750,2045,662,526,16
3752,2045,362,10,287
3753,2045,1199,473,317
3754,2045,1409,534,473
3755,2045,3990,1056,2286
3756,2045,1468,1026,274
3757,2045,358,223,110
3758,2045,2408,1323,1057
3759,2045,1905,761,857
3760,2045,1462,227,1202
3761,2045,547,183,359
3762,2045,178,111,67
3763,2045,1186,12,1119
3764,2045,327,168,156
3765,2045,946,563,373
3766,2045,597,22,527
3767,2045,79,26,53
3768,2045,428,58,345
3769,2045,387,312,54
3770,2045,471,51,69
3771,2045,55,19,36
3772,2045,225,102,99
3773,2045,242,176,24
3774,2045,17,15,2
3775,2045,1239,62,947
3776,2045,533,122,359
3777,2045,273,29,190
3778,2045,579,158,375
3779,2045,1076,521,235
3780,2045,246,122,124
3781,2045,1427,1301,112
3782,2045,658,641,17
3783,2045,535,48,450
3785,2045,190,57,26
3786,2045,1373,24,1283
3787,2045,319,193,105
3788,2045,171,84,84
3789,2045,101,9,68
3790,2045,231,42,73
3791,2045,312,21,229
3792,2045,287,198,73
3793,2045,170,14,51
3794,2045,20,0,0
3795,2045,549,69,300
3796,2045,619,3,133
3797,2045,49,4,1
3798,2045,129,0,123
3799,2045,38,0,2
3800,2045,156,33,59
3801,2045,12,1,11
3802,2045,87,0,29
3803,2045,11,10,0
3804,2045,420,176,168
3805,2045,195,157,38
3806,2045,0,0,0
3807,2045,365,182,172
3808,2045,494,186,239
