Geo,Year,SFDU,MFDU,GQDU
456,2019,474,782,0
457,2019,472,1152,0
458,2019,1892,288,0
459,2019,359,142,0
460,2019,345,218,0
461,2019,833,304,0
462,2019,796,562,0
463,2019,441,136,0
464,2019,1964,340,0
465,2019,2221,234,0
466,2019,328,166,0
467,2019,828,80,0
468,2019,83,0,0
469,2019,1760,200,0
470,2019,360,44,0
471,2019,273,478,0
472,2019,684,120,0
473,2019,12,4,0
474,2019,0,649,0
475,2019,981,56,0
476,2019,1511,48,0
477,2019,973,442,0
478,2019,40,0,0
480,2019,676,26,0
482,2019,616,28,0
483,2019,100,2,0
484,2019,1159,92,0
485,2019,493,16,0
486,2019,19,14,0
487,2019,536,206,0
490,2019,118,4,0
491,2019,1531,122,0
492,2019,2114,210,0
493,2019,2483,338,0
494,2019,1366,366,0
495,2019,1402,230,0
496,2019,589,222,0
497,2019,2465,314,0
498,2019,1149,280,0
499,2019,859,634,0
500,2019,222,90,0
501,2019,915,88,0
502,2019,1272,176,0
503,2019,977,378,0
504,2019,476,210,0
505,2019,878,386,0
506,2019,50,24,0
507,2019,593,478,0
508,2019,312,12,0
511,2019,79,0,0
512,2019,42,4,0
517,2019,2007,34,0
518,2019,648,58,0
519,2019,154,0,0
520,2019,111,0,0
521,2019,274,4,0
523,2019,2,0,0
524,2019,134,490,0
526,2019,44,0,0
527,2019,75,4,0
528,2019,353,24,0
530,2019,18,0,0
531,2019,0,78,0
532,2019,0,12,0
533,2019,20,6,0
536,2019,150,78,0
537,2019,723,134,0
538,2019,305,244,0
539,2019,360,164,0
540,2019,437,101,0
541,2019,134,88,0
542,2019,243,202,0
544,2019,213,126,0
545,2019,6,0,0
547,2019,356,300,0
548,2019,0,380,0
549,2019,178,22,0
550,2019,326,360,0
551,2019,56,50,0
553,2019,398,240,0
554,2019,144,214,0
555,2019,202,98,0
556,2019,186,68,0
557,2019,142,36,0
561,2019,94,4,0
562,2019,75,14,0
563,2019,2,92,0
564,2019,1174,546,0
565,2019,1133,894,0
566,2019,638,230,0
567,2019,40,16,0
568,2019,808,1160,0
569,2019,44,48,0
570,2019,870,340,0
571,2019,100,4,0
572,2019,1033,398,0
573,2019,677,840,0
574,2019,623,330,0
575,2019,868,448,0
576,2019,988,302,0
577,2019,727,312,0
578,2019,646,118,0
579,2019,68,0,0
580,2019,1458,282,0
581,2019,1454,438,0
582,2019,1197,244,0
583,2019,692,116,0
584,2019,2,48,0
585,2019,54,8,0
586,2019,118,548,0
587,2019,1206,306,0
588,2019,754,268,0
589,2019,1446,16,0
590,2019,1365,122,0
591,2019,2168,224,0
592,2019,735,856,3004
593,2019,251,584,0
594,2019,424,144,0
595,2019,91,0,0
596,2019,418,90,0
597,2019,435,142,0
598,2019,357,176,0
599,2019,440,242,0
600,2019,282,188,0
601,2019,271,118,0
602,2019,973,428,0
603,2019,621,176,0
604,2019,524,822,0
605,2019,389,268,0
606,2019,1029,466,0
607,2019,2,0,0
608,2019,212,504,0
609,2019,92,172,0
610,2019,0,792,0
611,2019,0,358,0
612,2019,14,4,0
613,2019,125,134,0
614,2019,2,0,0
615,2019,0,8,0
616,2019,0,302,0
617,2019,0,512,0
618,2019,52,64,0
619,2019,359,152,0
620,2019,102,60,0
621,2019,80,132,0
622,2019,12,36,0
623,2019,28,140,0
624,2019,290,312,0
625,2019,834,788,0
626,2019,33,1614,0
627,2019,42,424,0
628,2019,8,223,0
629,2019,136,82,0
630,2019,201,780,0
631,2019,450,226,0
632,2019,510,1184,0
633,2019,839,1498,0
634,2019,228,146,0
635,2019,770,436,0
636,2019,644,460,0
637,2019,495,936,0
644,2019,1237,318,0
645,2019,2,0,0
647,2019,1214,26,0
649,2019,711,364,0
650,2019,600,4,0
651,2019,298,198,0
652,2019,546,488,0
653,2019,208,598,0
655,2019,1693,1835,76
657,2019,626,439,0
658,2019,342,514,0
659,2019,1364,951,0
660,2019,1478,1009,0
661,2019,1288,224,0
662,2019,773,895,0
663,2019,50,240,0
664,2019,759,0,0
666,2019,646,238,0
667,2019,985,204,0
669,2019,564,60,0
670,2019,539,565,0
671,2019,94,588,1056
672,2019,0,274,0
674,2019,736,478,0
675,2019,1565,2078,0
676,2019,206,244,0
