Geo,Year,D3bpo4
450,2019,53.70516081
451,2019,52.58369355
452,2019,53.10253011
453,2019,52.94402022
454,2019,52.29411609
455,2019,92.34919341
456,2019,67.63578517
457,2019,63.00660756
458,2019,105.2108985
459,2019,173.7265237
460,2019,183.9414708
461,2019,192.4063505
462,2019,184.5542912
463,2019,83.64362918
464,2019,112.8480218
465,2019,99.53824513
466,2019,48.94131514
467,2019,61.41908242
468,2019,43.55963978
469,2019,28.00488111
470,2019,24.66670174
471,2019,118.1923573
472,2019,87.73091818
473,2019,41.56888981
474,2019,41.55485676
475,2019,41.64558029
476,2019,41.73495426
477,2019,31.90264537
478,2019,24.11751503
480,2019,51.01301588
482,2019,48.01787628
483,2019,142.6459112
484,2019,69.29727624
485,2019,48.30395683
486,2019,96.3698795
487,2019,25.00647996
490,2019,76.35896494
491,2019,93.59356677
492,2019,119.0279749
493,2019,115.0955624
494,2019,102.9086437
495,2019,114.6327528
496,2019,152.7468409
497,2019,117.8304467
498,2019,26.11744145
499,2019,21.08301728
500,2019,89.39054052
501,2019,44.72949281
502,2019,97.77550982
503,2019,26.06710358
504,2019,28.10633687
505,2019,26.27563227
506,2019,12.61302943
507,2019,14.49870285
508,2019,14.48440782
511,2019,38.05469979
512,2019,8.315795408
517,2019,22.4275074
518,2019,13.32655965
519,2019,11.78427595
520,2019,3.645312882
521,2019,5.19462136
523,2019,26.72101458
524,2019,79.13551139
526,2019,78.37747598
527,2019,28.02171769
528,2019,26.33254873
530,2019,156.8484771
531,2019,78.37751921
532,2019,78.37743723
533,2019,78.93701137
536,2019,78.38560254
537,2019,78.36180728
538,2019,83.16195183
539,2019,39.12155733
540,2019,45.8417863
541,2019,141.2661755
542,2019,135.8217613
544,2019,138.4559488
545,2019,37.82719638
547,2019,61.51989307
548,2019,28.62422144
549,2019,32.73192709
550,2019,76.18455849
551,2019,109.6095786
553,2019,122.2781495
554,2019,116.6410425
555,2019,63.25245857
556,2019,75.91115858
557,2019,61.67133092
561,2019,219.2190897
562,2019,109.6095613
563,2019,109.6095292
564,2019,85.98977418
565,2019,113.9919052
566,2019,59.0343005
567,2019,61.13738823
568,2019,31.82851708
569,2019,39.5305824
570,2019,25.51997566
571,2019,54.07806408
572,2019,43.32475528
573,2019,25.4921243
574,2019,86.96217253
575,2019,94.99426611
576,2019,41.03893588
577,2019,53.50772702
578,2019,33.52780457
579,2019,50.11647171
580,2019,57.94843583
581,2019,44.68235734
582,2019,137.1301337
583,2019,59.00002213
584,2019,68.45032015
585,2019,16.43392448
586,2019,32.49404941
587,2019,22.22255857
588,2019,39.06514396
589,2019,65.32212738
590,2019,95.68989239
591,2019,44.73523813
592,2019,39.42801657
593,2019,16.62450924
594,2019,52.29526784
595,2019,52.79543167
596,2019,51.5313815
597,2019,78.48578164
598,2019,129.3651982
599,2019,138.4092504
600,2019,78.88232892
601,2019,124.3010814
602,2019,206.1050521
603,2019,187.2525306
604,2019,158.3637178
605,2019,107.577778
606,2019,83.85605954
607,2019,31.92592247
608,2019,36.69305233
609,2019,31.69499994
610,2019,51.18708229
611,2019,52.23752259
612,2019,57.47553253
613,2019,51.46025186
614,2019,54.33534341
615,2019,53.18721527
616,2019,51.18705826
617,2019,53.00280167
618,2019,53.12782607
619,2019,88.0858683
620,2019,88.31147125
621,2019,88.25688126
622,2019,88.31152203
623,2019,88.37832526
624,2019,53.41081649
625,2019,109.6132691
626,2019,35.93098279
627,2019,35.97063029
628,2019,36.09488569
629,2019,36.33880133
630,2019,18.03326167
631,2019,21.1553679
632,2019,44.88624092
633,2019,38.09184729
634,2019,27.82338846
635,2019,52.50192822
636,2019,155.0331709
637,2019,77.65388358
644,2019,17.55082512
645,2019,24.22506838
647,2019,57.24801312
649,2019,14.45898946
650,2019,6.30904519
651,2019,7.892885518
652,2019,2.507622494
653,2019,68.77584373
655,2019,25.16069028
657,2019,20.65489988
658,2019,52.3266836
659,2019,42.18344958
660,2019,85.06843424
661,2019,106.79985
662,2019,18.4418884
663,2019,11.48332761
664,2019,11.19227787
666,2019,82.68838478
667,2019,119.3623483
669,2019,54.6576331
670,2019,46.8807819
671,2019,124.7164913
672,2019,63.04230327
674,2019,44.18751325
675,2019,46.67792864
676,2019,84.73576852
677,2019,169.2910738
679,2019,68.5575776
680,2019,71.963165
681,2019,83.78716295
682,2019,69.34856988
683,2019,125.9419867
685,2019,168.0792467
687,2019,10.17447765
688,2019,24.13869956
689,2019,2.086290805
690,2019,9.298871544
691,2019,12.94689026
692,2019,14.85788231
693,2019,63.12320195
694,2019,13.20398391
695,2019,12.73936058
696,2019,13.14881615
697,2019,26.17389202
699,2019,0.518104678
700,2019,20.16329737
702,2019,0.661832424
703,2019,22.20387572
704,2019,15.54060246
705,2019,27.64206377
706,2019,27.65274659
707,2019,75.20021064
708,2019,64.65569989
709,2019,64.95189937
710,2019,96.33838548
711,2019,91.14776959
712,2019,82.72118094
713,2019,88.47172681
714,2019,75.87068559
715,2019,63.85713528
716,2019,76.13540955
717,2019,76.18326639
718,2019,51.84788528
719,2019,58.18897196
721,2019,59.79807883
722,2019,104.3392681
723,2019,18.62436981
724,2019,20.81618296
727,2019,14.51614956
728,2019,38.07321748
729,2019,47.58585572
730,2019,11.4084981
731,2019,19.15960118
732,2019,24.53894166
733,2019,39.33457122
734,2019,10.08145781
735,2019,21.72712809
736,2019,41.68824568
737,2019,25.6494122
738,2019,51.51494107
739,2019,41.73416525
740,2019,31.86083385
741,2019,27.98269692
742,2019,31.87861771
743,2019,1.16376488
744,2019,1.38472078
745,2019,16.01131609
746,2019,15.93054612
747,2019,18.70771023
748,2019,23.31452261
749,2019,1.265893171
750,2019,28.95707323
751,2019,2.909225429
752,2019,2.763347546
753,2019,27.60077787
754,2019,0.217838945
755,2019,0.007827892
756,2019,11.74145582
757,2019,11.35863933
758,2019,10.7515727
759,2019,3.734899403
760,2019,15.8257976
761,2019,7.516026032
762,2019,15.17202262
763,2019,17.5400343
764,2019,8.994117082
765,2019,51.10172154
766,2019,29.55952173
767,2019,15.31245935
768,2019,31.94496491
769,2019,36.20519894
770,2019,54.75785985
771,2019,23.87396807
772,2019,36.95810976
773,2019,34.46475222
774,2019,11.28533162
775,2019,1.027511933
776,2019,2.351126991
777,2019,14.0721567
778,2019,2.543390592
779,2019,45.83351515
780,2019,13.15646798
781,2019,31.98738429
782,2019,25.87988314
783,2019,18.18423157
784,2019,25.69113702
785,2019,57.29682338
786,2019,23.95113561
787,2019,25.25174083
788,2019,24.03775672
789,2019,23.29007623
790,2019,21.94289431
791,2019,18.27626317
792,2019,37.02343601
793,2019,19.74138942
794,2019,19.57671305
795,2019,22.49569541
796,2019,17.1377002
797,2019,28.34244744
798,2019,22.98027045
799,2019,8.452697517
800,2019,11.05474017
801,2019,13.07378783
802,2019,17.04830157
804,2019,31.10440392
805,2019,11.53523982
806,2019,10.09667529
807,2019,7.406588215
808,2019,31.01626527
809,2019,18.49380433
810,2019,12.17545741
811,2019,11.407787
812,2019,31.41936657
813,2019,30.27711159
814,2019,40.80812608
815,2019,39.33700294
816,2019,12.29683136
817,2019,35.70825613
818,2019,17.10671123
819,2019,44.32382118
